i,j,gwl,std_gwl,rl_elevati,nztm_x,nztm_y
160,521,109.22599,3.851,128.70599,1542890.0,5185583.0
160,537,102.27999,0.177,120.735,1544497.0,5185563.0
160,701,29.520000000000003,0.76099,38.31,1560803.0,5185586.0
160,738,20.295,0.60199,23.13999,1564569.0,5185508.0
160,747,17.719990000000003,0.40099,20.32999,1565450.0,5185592.0
160,752,16.569995,1.397231525307797,18.504995,1565948.0000000002,5185509.5
160,754,16.243745,2.229287669288646,17.74124625,1566131.0,5185531.375
160,755,16.329990000000002,0.28299,16.95999,1566282.0,5185566.0
160,757,14.942995000000002,1.460236525307797,16.770000000000003,1566475.5,5185587.0
160,762,14.317495,1.387236525307797,15.92999,1566962.0,5185550.5
160,810,3.3845,1.315736525307797,4.535,1571765.0,5185535.0
160,856,1.682138571428572,2.193405471956224,2.912854285714286,1576366.1428571427,5185570.857142856
160,859,1.775721818181818,2.08638613232185,3.266361818181818,1576635.3636363635,5185526.363636363
161,756,15.89999,0.30799,16.700000000000003,1566381.0,5185406.0
161,758,15.579995,1.429231525307797,16.989995,1566571.0,5185477.5
161,768,12.747495,1.359231525307797,14.254995,1567598.0,5185477.5
161,832,1.2875,1.344731525307797,1.704995,1573968.0,5185467.5
161,833,1.41771,1.83305075043971,2.665707142857144,1574037.5714285711,5185424.142857144
161,854,1.66499625,1.655794406634747,2.7774975,1576163.625,5185461.375
161,857,1.896421428571429,2.177405471956224,2.849995714285714,1576466.5714285711,5185448.714285715
161,858,1.771811818181818,2.303611864195996,3.079086363636364,1576554.7272727273,5185460.272727272
161,860,1.724466470588235,2.248593279954937,3.486467647058824,1576748.4705882347,5185432.235294117
162,714,27.28,1.171,31.790000000000003,1562152.0,5185336.0
162,837,2.485449090909091,2.309520955105086,4.608177272727274,1574453.2727272727,5185359.727272728
162,838,2.240422142857143,2.011442396912253,4.259994285714286,1574566.7142857143,5185367.142857144
163,592,82.71600000000002,0.55299,93.01799,1549904.0,5185255.0
163,685,35.330000000000005,0.49399,46.02,1559263.0,5185244.0
163,727,25.12,0.68099,27.840000000000003,1563471.0,5185206.0
163,794,3.447500000000001,1.530236525307797,4.814995,1570188.0000000002,5185280.5
163,813,3.16,0.11599,4.07999,1572098.0,5185236.0
163,859,1.219992,2.045576440492476,3.561992,1576637.4,5185238.4
163,860,1.3219325,2.101883103625171,3.4606225,1576738.1875000002,5185271.8125
164,552,102.15699,3.436,114.647,1545928.0,5185155.0
164,737,19.76,0.29699,23.649990000000003,1564469.0,5185132.0
164,820,2.26999,0.184,2.94,1572748.0000000002,5185136.000000001
164,838,2.674277142857143,2.191404043384796,4.329992857142857,1574564.5714285711,5185127.0
164,853,0.93999,0.767,2.32999,1576002.0,5185115.0
164,857,1.362268181818182,2.308975500559632,3.145448181818182,1576465.6363636365,5185145.636363637
164,858,1.18471,1.858765036153996,3.229997142857143,1576537.857142857,5185151.428571428
164,868,0.711,0.086,2.651,1577596.0000000002,5185186.0
165,296,201.49499000000003,4.427990000000001,212.77499000000003,1520354.0,5185096.0
165,543,102.69899,3.76699,117.874,1545008.0,5185095.0
165,707,25.360000000000003,0.813,35.25999,1561402.0,5185086.0
165,851,0.77999,0.20399,1.65999,1575847.0,5185086.0
166,800,4.042495,1.289736525307798,4.280000000000001,1570796.5,5184981.000000001
166,826,3.10999,0.14399,3.45,1573398.0,5184996.0
166,835,1.476662222222222,2.25908604499164,3.222217777777778,1574243.4444444445,5184956.222222222
166,839,2.37857,2.308546900527653,4.537134285714286,1574614.0,5184938.714285715
167,721,22.3725,1.623236525307797,29.994995000000003,1562851.5,5184870.0
167,723,24.32249,0.7475,28.639995000000003,1563061.0,5184831.5
167,801,3.8574975,2.021602287961696,4.262495000000001,1570869.0,5184850.75
167,826,1.25999,0.11999,1.98,1573398.0,5184806.0
167,835,1.536721818181818,1.86652585499316,3.349088181818182,1574256.8181818177,5184832.909090909
167,841,0.245,1.400236525307797,1.03499,1574898.0,5184855.500000001
167,861,2.067664444444445,2.003367928256574,3.511105555555555,1576845.7777777775,5184828.666666666
168,675,39.31999,0.679,51.34,1558280.0,5184760.0
168,697,29.219990000000003,0.92,40.349990000000005,1560473.0,5184796.0
168,720,23.315000000000005,0.733495,30.539990000000003,1562734.5,5184764.5
168,721,24.180000000000003,0.56199,30.309990000000003,1562806.0,5184783.999999999
168,737,21.70999,0.73,23.76,1564417.0,5184795.0
168,823,1.337,0.067,3.27999,1573098.0,5184736.0
168,826,1.47399,0.134,2.92,1573347.9999999995,5184736.0
168,834,1.35,0.35699,1.41999,1574108.0000000002,5184726.0
168,835,0.911666666666667,1.729648700410397,2.653326666666667,1574247.6666666667,5184744.333333333
168,840,1.436245,1.941854787961696,3.0999975,1574755.75,5184728.75
168,841,1.119993333333333,0.896484350205198,2.533326666666667,1574873.6666666667,5184737.666666666
168,845,0.243332222222222,2.252641600547195,1.609993333333333,1575233.3333333335,5184754.111111111
168,863,2.070995,2.283425745554035,3.285997000000001,1577030.8,5184739.4
169,571,91.15,9.31299,104.33499,1547878.0,5184662.0
169,721,21.64499,1.706236525307797,29.784995,1562859.0,5184652.0
169,724,22.76,0.656,28.54999,1563102.0,5184686.0
169,741,18.110000000000003,0.623,21.930000000000003,1564889.0,5184659.0
169,811,4.1374925,2.044852287961696,5.547495000000002,1571861.75,5184646.0
169,845,0.560495,1.908728537961696,1.53874375,1575257.0,5184641.0
170,723,23.76,0.92799,28.659990000000004,1563009.0,5184540.0
170,811,4.86999,0.33599,5.44,1571884.0000000002,5184546.0
170,812,4.95666,1.818645367077064,5.203323333333334,1571943.3333333333,5184529.0
170,842,1.167810909090909,2.079021586867305,2.163628181818182,1574952.181818182,5184551.090909091
170,859,2.66066,0.975817683538532,3.849990000000001,1576659.0,5184562.666666666
171,843,1.07999,1.332231525307797,1.864995,1575072.0,5184473.0
172,811,3.59999,0.744,4.46999,1571871.0,5184342.0
172,812,2.22499,1.00399,4.80999,1571971.9999999995,5184321.0
172,843,0.935832222222222,2.123727542179662,2.702215555555556,1575042.3888888888,5184335.888888889
172,866,1.82599,0.119,3.023,1577389.0,5184312.0
173,714,20.38999,0.851,32.220000000000006,1562167.0,5184291.0
173,762,14.22,1.78931203374373,16.02333,1566950.6666666665,5184259.0
173,798,3.90499,0.568,6.250000000000002,1570549.0,5184279.0
173,827,-0.375,0.0705,1.63499,1573445.5,5184243.5
173,842,1.618323333333334,2.123727542179662,3.42333,1574949.0,5184257.666666666
173,846,0.432854285714286,2.185976900527653,1.849994285714286,1575328.0,5184254.2857142845
173,848,-0.03,1.384731525307797,1.33,1575535.0,5184223.5
173,853,-0.116665,2.179559208846329,1.451663333333334,1576076.5,5184260.166666666
173,865,2.001992,2.054376440492476,3.527996,1577257.8,5184256.199999999
174,764,14.332996666666666,1.093154350205198,15.743326666666668,1567136.6666666667,5184146.666666666
174,770,12.193495,1.383236525307797,14.359990000000002,1567784.5,5184191.0
174,838,1.819,0.17399,3.53999,1574540.0000000002,5184165.0
174,859,2.239992857142858,2.177118329099081,3.714282857142857,1576667.0,5184171.2857142845
175,794,4.249995,1.540236525307797,6.354995000000002,1570181.0,5184081.5
175,842,1.141661666666667,2.167225875512996,3.23666,1574970.3333333333,5184061.666666666
175,850,-1.226663333333333,1.841645367077063,0.806663333333333,1575777.3333333335,5184022.333333333
175,855,1.058707142857143,1.835049321868282,2.96285,1576254.4285714286,5184077.2857142845
175,857,1.539997142857143,2.181834043384796,3.402852857142857,1576469.2857142854,5184026.428571428
176,776,9.755,0.43999,11.760000000000002,1568350.0,5183937.0
176,791,4.42,0.1,4.78999,1569849.0,5183937.0
176,829,-0.12625,1.931354787961696,1.4149975,1573651.5,5183942.75
176,846,0.115,1.343731525307797,1.069995,1575392.5,5183966.5
176,849,0.247495,1.326736525307797,1.14999,1575624.5,5183971.5
177,795,5.261994,1.584081830369357,6.287996000000002,1570240.8,5183870.0
177,835,1.160996,1.585481830369357,3.133994,1574236.1999999995,5183833.0
177,843,0.147495625,2.37750535995212,2.193116875,1575054.1875,5183856.000000001
177,846,0.029995,1.431731525307797,1.679995,1575330.0,5183842.5
177,850,0.04666,1.72931203374373,1.056656666666667,1575769.3333333335,5183833.666666666
177,857,1.6968675,1.930354787961696,2.846245000000001,1576460.875,5183826.25
178,611,66.203,2.898,81.40799000000001,1551826.0,5183766.0
178,773,11.96,0.381,13.61999,1568011.0,5183767.0
178,775,11.0124975,1.953854787961696,12.602495,1568257.25,5183728.75
178,789,5.191992000000002,2.029178440492476,6.379996,1569668.6,5183729.0
178,796,5.034995,1.465231525307797,5.949995000000002,1570316.0000000002,5183750.0
178,828,0.469995,1.344731525307797,1.494995,1573529.0,5183772.5
178,829,0.189995,1.370736525307797,1.569995,1573658.0,5183791.5
178,842,0.58481,2.079696228625171,2.079995625,1574956.125,5183756.125
179,759,13.77,0.38699,16.610000000000003,1566611.0,5183657.0
179,790,5.457138571428572,2.168975471956224,6.258564285714286,1569771.2857142857,5183658.0
179,816,3.44,1.313231525307797,5.214995,1572347.5,5183691.5
179,828,0.34999,0.24899,1.29999,1573555.0,5183600.000000001
179,832,-0.1975,1.374736525307797,0.94999,1573958.0,5183678.5
179,840,0.576663333333333,2.140225875512996,3.151665,1574780.6666666667,5183646.833333333
179,852,0.58999,0.092,0.97,1575997.0,5183687.0
180,309,190.97599,4.48299,203.60099,1521690.0,5183559.0
180,615,63.40200000000001,1.45899,78.67199000000002,1552286.0,5183586.0
180,770,13.874995000000002,1.558736525307797,15.409995000000002,1567724.0000000002,5183502.5
180,816,3.406656666666667,1.75898203374373,4.846656666666668,1572308.6666666667,5183530.333333333
180,829,0.0012475,1.417984025307797,1.2724925,1573677.2500000002,5183559.75
180,833,-0.393323333333333,1.83731203374373,0.49666,1574060.0000000002,5183581.333333333
180,836,0.176662222222222,2.259641600547196,2.004438888888889,1574365.2222222222,5183539.333333333
180,839,-0.284995,1.349236525307797,1.1,1574621.0,5183528.499999999
180,840,0.37833,1.733645367077063,2.14999,1574752.0,5183527.666666666
180,848,-0.651663333333333,1.734315367077063,1.13999,1575538.0,5183571.0
180,856,1.354995,1.355731525307797,1.95,1576387.9999999995,5183541.5
180,859,1.395875294117647,2.236534456425525,2.659997647058824,1576663.1176470588,5183546.117647059
